pid,label,title,people,_date,revolutionary_date,location,language,archive,reference,original_name,order,layout,collection,thumbnail,full,manifest
obj01,Letter from Adm. Milbanke to Evan Napean,"Letter | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",3 September 1802,16 Fructidor Year X,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,13.42.24,00,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj01/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj01/full/1140,/0/default.jpg",/img/derivatives/iiif/obj01/manifest.json
obj02,Letter from Adm. Milbanke to Evan Napean,Envelope | Admiral Mark Milbanke to Board of Admiralty c/o Evan Napean,"Mark Milbanke, Peter Turner Bover",3 September 1802,16 Fructidor Year X,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.02.45,01,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj02/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj02/full/1140,/0/default.jpg",/img/derivatives/iiif/obj02/manifest.json
obj03,Minute Noted at Admiralty Board,"Minute | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","Board of Admiralty, John Jervis, Evan Nepean",4 September 1802,17 Fructidor Year X,London,English,"The National Archives, Kew",ADM 1/1054/774,13.42.34,02,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj03/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj03/full/1140,/0/default.jpg",/img/derivatives/iiif/obj03/manifest.json
obj04,Summary of the Case of John Williams,Enclosure | Case of John Williams an American Under Sentence of Death at Portsmouth,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",3 September 1802,16 Fructidor Year X,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,13.44.00,03,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj04/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj04/full/1140,/0/default.jpg",/img/derivatives/iiif/obj04/manifest.json
obj05,Summary of the Case of John Williams,Title | Case of John Williams an American Under Sentence of Death at Portsmouth,"John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",29 September 1802,7 Vendémiaire Year XI,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.03.02,04,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj05/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj05/full/1140,/0/default.jpg",/img/derivatives/iiif/obj05/manifest.json
obj06,Summary of the Case of John Williams,Page 1 | Case of John Williams an American Under Sentence of Death at Portsmouth,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",29 September 1802,7 Vendémiaire Year XI,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,13.43.25,05,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj06/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj06/full/1140,/0/default.jpg",/img/derivatives/iiif/obj06/manifest.json
obj07,Summary of the Case of John Williams,Page 2 | Case of John Williams an American Under Sentence of Death at Portsmouth,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",29 September 1802,7 Vendémiaire Year XI,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,13.43.48,06,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj07/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj07/full/1140,/0/default.jpg",/img/derivatives/iiif/obj07/manifest.json
obj08,Document No. 1 | Procurator,"Orignial French, Page 1 | Document No. 1 | Procurator","Consul Darrieux, Richard Calven, John Murphy",30 January 1801,10 Pluviôse Year IX,Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.49.16,07,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj08/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj08/full/1140,/0/default.jpg",/img/derivatives/iiif/obj08/manifest.json
obj09,Document No. 1 | Procurator,"Orignial French, Page 2 | Document No. 1 | Procurator","Consul Darrieux, Richard Calven, John Murphy",30 January 1801,10 Pluviôse Year IX,Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.50.47,08,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj09/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj09/full/1140,/0/default.jpg",/img/derivatives/iiif/obj09/manifest.json
obj10,Document No. 1 | Procurator,English Translation | Document No. 1 | Procurator,"Consul Darrieux, Richard Calven, John Murphy, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.00.11,09,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
obj11,Document No. 2 | Ticket of March,Original French | Document No. 2 | Ticket of March,"Chief Jauce, Clerk Carmy, John Williams",8 April 1800,18 Germinal Year VIII,Paris,French,"The National Archives, Kew",ADM 1/1054/774,13.52.09,10,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj12,Document No. 2 | Ticket of March,"Engilsh Translation, Page 1 | Document No. 2 | Ticket of March","Chief Jauce, Clerk Carmy, John Williams, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.00.18,11,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj12/full/1140,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json
obj13,Document No. 2 | Ticket of March,"Engilsh Translation, Page 2 | Document No. 2 | Ticket of March","Chief Jauce, Clerk Carmy, John Williams, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.00.43,12,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj13/full/1140,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json
obj14,"Document No. 3 | Money Owed, Prosecution","Original French | Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner",27 February 1801,8 Ventiôse Year IX,Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.53.02,13,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj14/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj14/full/1140,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json
obj15,"Document No. 3 | Money Owed, Prosecution","English Translation | Document No. 3 | Money Owed, Prosecution","Unknown Clerk, John Brown, Samuel Scarburgh, Citizen La Chauritiere, John Williams, George Gardner, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.00.52,14,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj15/full/1140,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json
obj16,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in English, Page 1 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",23 April 1801,3 Floréal Year IX,Bordeaux,English,"The National Archives, Kew",ADM 1/1054/774,13.53.38,15,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj16/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj16/full/1140,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json
obj17,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in English, Page 2 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",23 April 1801,3 Floréal Year IX,Bordeaux,English,"The National Archives, Kew",ADM 1/1054/774,13.54.02,16,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj17/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj17/full/1140,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json
obj18,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams",24 April 1801,4 Floréal Year IX,Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.55.06,17,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj18/full/1140,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json
obj19,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French with English Translation, Page 1 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.01.12,18,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj19/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj19/full/1140,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json
obj20,"Document No. 4 | US Sailor's Pass, Bordeaux","American Pass in French with English Translation, Page 2 | Document No. 4 | US Sailor's Pass, Bordeaux","Isaac Cox Barnet, John Williams, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.01.21,19,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj20/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj20/full/1140,/0/default.jpg",/img/derivatives/iiif/obj20/manifest.json
obj21,Document No. 5 | Marine République Français Passe-port,"Original French, Page 1 | Document No. 5 | Marine République Français Passe-port","John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",20 September 1799,4 Sansculottides Year VII,Bayonne,French,"The National Archives, Kew",ADM 1/1054/774,13.58.15,20,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj21/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj21/full/1140,/0/default.jpg",/img/derivatives/iiif/obj21/manifest.json
obj22,Document No. 5 | Marine République Français Passe-port,"Original French, Page 2 | Document No. 5 | Marine République Français Passe-port","John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine",20 September 1799,4 Sansculottides Year VII,Bayonne,French,"The National Archives, Kew",ADM 1/1054/774,13.59.17,21,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj22/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj22/full/1140,/0/default.jpg",/img/derivatives/iiif/obj22/manifest.json
obj23,Document No. 5 | Marine République Français Passe-port,English Translation | Document No. 5 | Marine République Français Passe-port,"John Williams, Sous-commissaire de Marine Brispord, Unnamed Commissaire Principal de Marine, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.01.43,22,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj23/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj23/full/1140,/0/default.jpg",/img/derivatives/iiif/obj23/manifest.json
obj24,"Document No. 6 | Money Owed, Corsair La Mouche","Original French | Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk",2 May 1800,12 Floréal Year VIII,Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.59.40,23,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj24/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj24/full/1140,/0/default.jpg",/img/derivatives/iiif/obj24/manifest.json
obj25,"Document No. 6 | Money Owed, Corsair La Mouche","English Translation | Document No. 6 | Money Owed, Corsair La Mouche","John Williams, Citizen La Prée, George Gardner, Unknown Clerk, Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.01.56,24,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj25/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj25/full/1140,/0/default.jpg",/img/derivatives/iiif/obj25/manifest.json
obj26,"Document No. 7 | Money Owed, 26 Francs","Original French | Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic)",18 February 1801,"29 Pluviôse, An 9",Bordeaux,French,"The National Archives, Kew",ADM 1/1054/774,13.59.58,25,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj26/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj26/full/1140,/0/default.jpg",/img/derivatives/iiif/obj26/manifest.json
obj27,"Document No. 7 | Money Owed, 26 Francs","English Translation | Document No. 7 | Money Owed, 26 Francs","John Williams, Ojuul Seat (sic), Rev. William Howell (translator)",12 September 1801,25 Fructidor Year IX,Portsmouth,English,"The National Archives, Kew",ADM 1/1054/774,14.02.05,26,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj27/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj27/full/1140,/0/default.jpg",/img/derivatives/iiif/obj27/manifest.json
obj28,Letter from Cpt. Bover to Adm. Milbanke,"Letter | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",2 September 1802,15 Fructidor Year X,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.02.41,27,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj28/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj28/full/1140,/0/default.jpg",/img/derivatives/iiif/obj28/manifest.json
obj29,John Williams' Statement of His Case,Title | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,25 Fructidor Year IX,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.02.32,28,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj29/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj29/full/1140,/0/default.jpg",/img/derivatives/iiif/obj29/manifest.json
obj30,John Williams' Statement of His Case,Page 1 | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,25 Fructidor Year IX,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.02.15,29,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj30/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj30/full/1140,/0/default.jpg",/img/derivatives/iiif/obj30/manifest.json
obj31,John Williams' Statement of His Case,Page 2 | John Williams' Statement of His Case,"John Williams, Ebeneser Persons, Thomas Johnston Cox, Allen William Proby, Unnamed Wife",12 September 1801,25 Fructidor Year IX,Spithead,English,"The National Archives, Kew",ADM 1/1054/774,14.02.28,30,johnwilliams_item,johnwilliams,"/img/derivatives/iiif/images/obj31/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj31/full/1140,/0/default.jpg",/img/derivatives/iiif/obj31/manifest.json
