pid,label,title,people,_date,revolutionary_date,location,language,pages,archive,reference,article_link,trans_link,original_name
obj01,Letter from Cpt. Bover to Adm. Milbanke,"Letter | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",3 September 1802,,Spithead,English,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/letter/,https://gyups.github.io/johnwilliams/transcription/letter/,13.42.24
obj02,Letter from Cpt. Bover to Adm. Milbanke,"Minute | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","Board of Admiralty, John Jervis, Evan Nepean",3 September 1802,,London,English,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/letter/,https://gyups.github.io/johnwilliams/transcription/letter/,13.42.44
obj03,Letter from Cpt. Bover to Adm. Milbanke,"Coverpage | Captain Peter Bover, HMS Blenheim, to Admiral Mark Milbanke, Commander-in-Chief Portsmouth","John Williams, Peter Turner Bover, Mark Milbanke, Evan Nepean ",3 September 1802,,Spithead,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/letter/,https://gyups.github.io/johnwilliams/transcription/letter/,14.03.02
obj04,Summary of the Case of John Williams,Coverpage | Summary of the Case of John Williams,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",29 September 1802,,Portsmouth,English,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/case/,https://gyups.github.io/johnwilliams/transcription/case/,13.44.00
obj05,Summary of the Case of John Williams,Page 1 | Summary of the Case of John Williams,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",29 September 1802,,Portsmouth,English,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/case/,https://gyups.github.io/johnwilliams/transcription/case/,13.43.25
obj06,Summary of the Case of John Williams,Page 2 | Summary of the Case of John Williams,"Unknown Clerk, John Jervis, John Williams, Unnamed Wife, William Allen Proby, Unnamed Lieutenant",29 September 1802,,Portsmouth,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/case/,https://gyups.github.io/johnwilliams/transcription/case/,13.43.48
obj07,Document No. 1 | Procurator,"Orignial French, Page 1 | Document No. 1 | Procurator","Consul Darrieux, Richard Calven, John Murphy",29 January 1800,"10 Pluviôse, Ans 9",Bordeaux,French,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document1/,https://gyups.github.io/johnwilliams/transcription/document1/,13.49.16
obj08,Document No. 1 | Procurator,"Orignial French, Page 2 | Document No. 1 | Procurator","Consul Darrieux, Richard Calven, John Murphy",29 January 1800,"10 Pluviôse, Ans 9",Bordeaux,French,Page 2 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document1/,https://gyups.github.io/johnwilliams/transcription/document1/,13.50.47
obj09,Document No. 1 | Procurator,English Translation | Document No. 1 | Procurator,"Consul Darrieux, Richard Calven, John Murphy, Rev. William Howell (translator)",September 1801,,Portsmouth,English,Page 3 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document1/,https://gyups.github.io/johnwilliams/transcription/document1/,14.00.11
obj10,Document No. 2 | Ticket of March,Original French | Document No. 2 | Ticket of March,"Chief Jauce, Clerk Carmy, John Williams",7 April 1800,18 Germinal An 8,Paris,French,Page 1 of 3,"The National Archives, Kew",ADM 1/1054/774,https://gyups.github.io/johnwilliams/essay/document2/,https://gyups.github.io/johnwilliams/transcription/document2/,13.52.09
